"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"ピアポントとは意見が合わない点も多いけど、フェイスレスヴォイドを怒らせるのは危険だと気づいた彼は賢明だった。私はクラスズリーム協定はあまり好きじゃない。時間魔法は楽しかったからね。でも、世界の時系列がムチャクチャになるよりはましさ。"
"DCG_VO_roseleaf_druid_hero_rival_02"	"You're creations are an abomination Rizzrack."
"DCG_VO_roseleaf_druid_hero_rival_03"	"Timbersaw... you'll pay for what you've done."
"DCG_VO_roseleaf_druid_unique_01"	"The possibilities are endless."
"DCG_VO_roseleaf_druid_unique_02"	"Let me amplify your power."
"DCG_VO_roseleaf_druid_unique_03"	"With Aghanim's resources, what isn't possible..."
"DCG_VO_roseleaf_druid_unique_04"	"I will make the impossible, possible."
"DCG_VO_roseleaf_druid_unique_05"	"I'm feeling rather redundant."
"DCG_VO_roseleaf_druid_unique_06"	"I don't trust you for a second Timbersaw."
"DCG_VO_roseleaf_druid_unique_07"	"I have no love of the Keenfolk Mazzie, but if you say you're different I'll believe you."
"DCG_VO_roseleaf_druid_unique_08"	"Fighting alongside the keen...these are strange times indeed...."
"DCG_VO_roseleaf_druid_healed_01"	"Ahhh"
"DCG_VO_roseleaf_druid_healed_02"	"Thank you."
"DCG_VO_roseleaf_druid_healed_03"	"A wise decision..."
"DCG_VO_roseleaf_druid_death_01"	"<i>Screams</i>"
"DCG_VO_roseleaf_druid_undead_moan_01"	"<i>moans</i>"
"DCG_VO_roseleaf_druid_undead_anger_01"	"<i>roars</i>"
"DCG_VO_assassins_apprentice_intro"	"The Revtel campaign was successful, but I was only there to observe, not take part... they say I'm not ready to kill on my own... but I'll prove them wrong."
"DCG_VO_assassins_apprentice_summon_01"	"I'm ready to prove myself..."
"DCG_VO_assassins_apprentice_summon_02"	"I'll make the sisterhood proud."
"DCG_VO_assassins_apprentice_summon_03"	"They won't feel a thing..."
"DCG_VO_assassins_apprentice_ancient_attack_01"	"Leave this to me..."
"DCG_VO_assassins_apprentice_ancient_attack_02"	"I'll show the Oracles my worth..."
"DCG_VO_assassins_apprentice_ancient_protect_01"	"This isn't over yet."
"DCG_VO_assassins_apprentice_ancient_protect_02"	"The sisterhood can change the tide."
"DCG_VO_assassins_apprentice_ancient_both_01"	"I won't fail in my mission."
"DCG_VO_assassins_apprentice_ancient_both_02"	"I'll die before I fail the veiled oracles..."
"DCG_VO_assassins_apprentice_use_ability_01"	"Still in the fight."
"DCG_VO_assassins_apprentice_use_ability_02"	"My blade always finds it's mark."
"DCG_VO_assassins_apprentice_use_ability_03"	"You can't run from me."
"DCG_VO_assassins_apprentice_hero_friend_01"	"Ready to fight Sister."
"DCG_VO_assassins_apprentice_hero_friend_02"	"Its an honor to learn from the best..."
"DCG_VO_assassins_apprentice_hero_friend_03"	"You're an example to us all Mortred."
"DCG_VO_assassins_apprentice_hero_rival_01"	"It's not you I'm after Axe... it's Goodkind."
"DCG_VO_assassins_apprentice_hero_rival_02"	"It's not personal, Maiden..."
"DCG_VO_assassins_apprentice_hero_rival_03"	"Your name is on my list, Dark Seer..."
"DCG_VO_assassins_apprentice_faction_ally_01"	"Ready, sisters?"
"DCG_VO_assassins_apprentice_faction_ally_02"	"No one will dare stand against us..."
"DCG_VO_assassins_apprentice_faction_ally_03"	"The shadows will protect us..."
"DCG_VO_assassins_apprentice_unique_01"	"I'll finish what we started in Revtel..."
"DCG_VO_assassins_apprentice_unique_02"	"Your money won't buy you mercy."
"DCG_VO_assassins_apprentice_unique_03"	"That convoy is much larger than I anticipated..."
"DCG_VO_assassins_apprentice_unique_04"	"What happened in Revtel wasn't personal..."
"DCG_VO_assassins_apprentice_unique_05"	"The sisterhood has too many rules... perhaps I could find work in Revtel..."
"DCG_VO_assassins_apprentice_unique_06"	"Those from Revtel don't seem to be the monsters the Oracles made them out to be..."
"DCG_VO_assassins_apprentice_unique_07"	"Leave the tower to me...."
"DCG_VO_assassins_apprentice_unique_08"	"I'm sorry, sister..."
"DCG_VO_assassins_apprentice_healed_01"	"Ahhh"
"DCG_VO_assassins_apprentice_healed_02"	"I can continue my training..."
"DCG_VO_assassins_apprentice_healed_03"	"Thanks."
"DCG_VO_assassins_apprentice_death_01"	"<i>Screams</i>"
"DCG_VO_assassins_apprentice_undead_moan_01"	"<i>moans</i>"
"DCG_VO_assassins_apprentice_undead_anger_01"	"<i>roars</i>"
"DCG_VO_ravenhook_intro"	"I'm not oblivious to the reputation I have; after all, the visits my brothers and sisters make are... rarely social. But it's not my fault I'm here, it's yours. Maybe you stole from your noble father... perhaps you defaulted on a Revtel debt... or could it be something as pedestrian as revenge... Eh, who's to say, the 'whys' don't matter do they? No. All that matters is that there is something you hold dear, and my employer wants me to take it from you."
"DCG_VO_ravenhook_summon_01"	"I believe you have something I want."
"DCG_VO_ravenhook_summon_02"	"It's not personal. Just business."
"DCG_VO_ravenhook_summon_03"	"Let's get this nasty business over with, shall we?"
"DCG_VO_ravenhook_ancient_attack_01"	"Don't worry, it'll all be over soon."
"DCG_VO_ravenhook_ancient_attack_02"	"Well what do we have here..."
"DCG_VO_ravenhook_ancient_protect_01"	"You didn't think I'd let you walk on by, did you?"
"DCG_VO_ravenhook_ancient_protect_02"	"I got you right where I want you."
"DCG_VO_ravenhook_ancient_both_01"	"Well this is about to get interesting..."
"DCG_VO_ravenhook_ancient_both_02"	"Oh I'm dyin' to see what happens next..."
"DCG_VO_ravenhook_use_ability_01"	"You won't be needing that anymore."
"DCG_VO_ravenhook_use_ability_02"	"Sorry, friend."
"DCG_VO_ravenhook_use_ability_03"	"Hand it over..."
"DCG_VO_ravenhook_hero_friend_01"	"You find Mireska yet?"
"DCG_VO_ravenhook_hero_friend_02"	"I hear Lord Sunbreeze is payin' you handsomely..."
"DCG_VO_ravenhook_hero_friend_03"	"Always a pleasure to work with the fine people of Revtel..."
"DCG_VO_ravenhook_hero_rival_01"	"I'm gonna be frank Mazzie... a lot of people hate you."
"DCG_VO_ravenhook_hero_rival_02"	"Just hand over the robot Rizzrack and I'll be on my way..."
"DCG_VO_ravenhook_hero_rival_03"	"It can't come as a surprise that you've made some enemies in your travels..."
"DCG_VO_ravenhook_unique_01"	"This just isn't your day is it?"
"DCG_VO_ravenhook_unique_02"	"Shoops."
"DCG_VO_ravenhook_unique_03"	"Careful now, you might hurt someone with that thing."
"DCG_VO_ravenhook_unique_04"	"We wouldn't want you to use that on me, now would we."
"DCG_VO_ravenhook_unique_05"	"This'll fetch a nice price on the market..."
"DCG_VO_ravenhook_unique_06"	"Excuse me, I believe you have something I want..."
"DCG_VO_ravenhook_unique_07"	"There' no need to make this any more difficult than it has to be..."
"DCG_VO_ravenhook_unique_08"	"Just give me what I want and I'll be on my way..."
"DCG_VO_ravenhook_healed_01"	"Ahhh"
"DCG_VO_ravenhook_healed_02"	"My work continues..."
"DCG_VO_ravenhook_healed_03"	"My gratitude..."
"DCG_VO_satyr_duelist_intro"	"I am not a swordsman. I am artist. Now, I'm not foolish enough to boast that none are my equal, after all the world is filled with exceptional individuals...but I am wise enough to know that I am better than most. "
"DCG_VO_satyr_duelist_summon_01"	"Who's ready to play."
"DCG_VO_satyr_duelist_summon_02"	"The dance begins."
"DCG_VO_satyr_duelist_summon_03"	"Hello my friends..."
"DCG_VO_satyr_duelist_ancient_attack_01"	"This will be over soon."
"DCG_VO_satyr_duelist_ancient_attack_02"	"Allow me to finish this..."
"DCG_VO_satyr_duelist_ancient_protect_01"	"You have called for help, and the divan gallants have answered."
"DCG_VO_satyr_duelist_ancient_protect_02"	"The day isn't over yet."
"DCG_VO_satyr_duelist_ancient_both_01"	"Well isn't this exciting..."
"DCG_VO_satyr_duelist_ancient_both_02"	"I look forward to seeing what will happen next..."
"DCG_VO_satyr_duelist_hero_friend_01"	"Lycan, with you by my side, there's no enemy I can't fell."
"DCG_VO_satyr_duelist_hero_friend_02"	"Enchantress, with you by my side, I know I will reach my full potential..."
"DCG_VO_satyr_duelist_hero_friend_03"	"Treant, with you by my side, no harm will come to me..."
"DCG_VO_satyr_duelist_hero_rival_01"	"I fear no assassin."
"DCG_VO_satyr_duelist_hero_rival_02"	"Commander...a fancy title for a petty thug."
"DCG_VO_satyr_duelist_hero_rival_03"	"You lack grace Sorla... it will be your undoing."
"DCG_VO_satyr_duelist_unique_01"	"Ahhh the great Axe... I look forward to this battle."
"DCG_VO_satyr_duelist_unique_02"	"I grow stronger every day..."
"DCG_VO_satyr_duelist_unique_03"	"My skills are only growing"
"DCG_VO_satyr_duelist_unique_04"	"come, Axe let us dance..."
"DCG_VO_satyr_duelist_unique_05"	"Let's see if the knights of the Vigil live up to their name?"
"DCG_VO_satyr_duelist_unique_06"	"Your cause is just rix, but your means are questionable"
"DCG_VO_satyr_duelist_unique_07"	"The Dire have met their match..."
"DCG_VO_satyr_duelist_unique_08"	"You're a zealot Prellex..."
"DCG_VO_satyr_duelist_healed_01"	"Ahhh"
"DCG_VO_satyr_duelist_healed_02"	"Thank you."
"DCG_VO_satyr_duelist_healed_03"	"My gratitude."
"DCG_VO_satyr_duelist_death_01"	"<i>Screams</i>"
"DCG_VO_vhoul_martyr_intro"	"I knew this day would come the moment I agreed to host Rix's gatherings in my wine cellar... but I wasn't ready for what it felt like to be pulled from my home in the middle of the night. I know it's only a matter of time before Tresdin has me executed, and I won't lie. I'm scared. But we all have our parts to play. "
"DCG_VO_vhoul_martyr_summon_01"	"I'll give my life for the cause."
"DCG_VO_vhoul_martyr_summon_02"	"My life is irrelevant, the cause is all that matters."
"DCG_VO_vhoul_martyr_summon_03"	"I'll die for my people!"
"DCG_VO_vhoul_martyr_ancient_attack_01"	"If the gods are kind, I will live to see victory!"
"DCG_VO_vhoul_martyr_ancient_attack_02"	"If my death brings us victory it will be worth it..."
"DCG_VO_vhoul_martyr_ancient_protect_01"	"I will not die in vain."
"DCG_VO_vhoul_martyr_ancient_protect_02"	"If my life can change the tide, so be it."
"DCG_VO_vhoul_martyr_ancient_both_01"	"We all must be willing to give everything for our people..."
"DCG_VO_vhoul_martyr_ancient_both_02"	"This is our moment, we must not falter."
"DCG_VO_vhoul_martyr_hero_friend_01"	"I believe in you Rix."
"DCG_VO_vhoul_martyr_hero_friend_02"	"It's an honor to fight by the savior of our people."
"DCG_VO_vhoul_martyr_hero_friend_03"	"What do you need me to do, Rix?"
"DCG_VO_vhoul_martyr_hero_rival_01"	"You will oppress us no longer!"
"DCG_VO_vhoul_martyr_hero_rival_02"	"Roseleaf will never serve the Bronze Legion!"
"DCG_VO_vhoul_martyr_hero_rival_03"	"You don't get it Tresdin... my death will only strengthen our resolve..."
"DCG_VO_vhoul_martyr_faction_ally_01"	"For the Rebellion!"
"DCG_VO_vhoul_martyr_faction_ally_02"	"FREEDOM FOR ROSELEAF!"
"DCG_VO_vhoul_martyr_faction_ally_03"	"The Vhoul are no ones slaves!"
"DCG_VO_vhoul_martyr_unique_01"	"I'm sorry Rix, I don't want to die."
"DCG_VO_vhoul_martyr_unique_02"	"The revolution is over Rix, at least this way I can survive..."
"DCG_VO_vhoul_martyr_unique_03"	"I have a family to think of, forgive me..."
"DCG_VO_vhoul_martyr_unique_04"	"You wont destroy our home!"
"DCG_VO_vhoul_martyr_unique_05"	"How can you butcher our people Sorla... "
"DCG_VO_vhoul_martyr_unique_06"	"Thanks to the Quorum, I don’t need to sacrifice myself..."
"DCG_VO_vhoul_martyr_unique_07"	"Do what you must lich..."
"DCG_VO_vhoul_martyr_unique_08"	"I give myself willingly, lich..."
"DCG_VO_vhoul_martyr_healed_01"	"Ahhh"
"DCG_VO_vhoul_martyr_healed_02"	"Its not my time yet..."
"DCG_VO_vhoul_martyr_healed_03"	"Is this wise?"
"DCG_VO_ogre_corpse_tosser_intro"	"Friends said throwing dead bodies was hobby, not real job. Who's laughing now? Not friends. I kill them for not supporting my dream. "
"DCG_VO_ogre_corpse_tosser_summon_01"	"Ready to smash things."
"DCG_VO_ogre_corpse_tosser_summon_02"	"Give me someone to throw."
"DCG_VO_ogre_corpse_tosser_summon_03"	"Let's get to work. "
"DCG_VO_ogre_corpse_tosser_ancient_attack_01"	"It's only a matter of time..."
"DCG_VO_ogre_corpse_tosser_ancient_attack_02"	"I can knock that thing down..."
"DCG_VO_ogre_corpse_tosser_ancient_protect_01"	"I'll do what I can."
"DCG_VO_ogre_corpse_tosser_ancient_protect_02"	"They won't get past me."
"DCG_VO_ogre_corpse_tosser_ancient_both_01"	"I can't wait to see what happens next..."
"DCG_VO_ogre_corpse_tosser_ancient_both_02"	"Hope you have lots of friends..."
"DCG_VO_ogre_corpse_tosser_hero_friend_01"	"I like you Kanna... you bring me friends..."
"DCG_VO_ogre_corpse_tosser_hero_friend_02"	"I stand with you Magi."
"DCG_VO_ogre_corpse_tosser_hero_friend_03"	"Keep them coming Prellex"
"DCG_VO_ogre_corpse_tosser_hero_rival_01"	"You picked wrong side Kanna."
"DCG_VO_ogre_corpse_tosser_hero_rival_02"	"You not smartest Ogre. I SMARTEST OGRE!"
"DCG_VO_ogre_corpse_tosser_hero_rival_03"	"I will break your people."
"DCG_VO_ogre_corpse_tosser_unique_01"	"It's not disrespecting the dead. It's reuse."
"DCG_VO_ogre_corpse_tosser_unique_02"	"This is going to be fun."
"DCG_VO_ogre_corpse_tosser_unique_03"	"More people for me to throw..."
"DCG_VO_ogre_corpse_tosser_unique_04"	"You all have a job, even after you die."
"DCG_VO_ogre_corpse_tosser_unique_05"	"Which one of you wants to get thrown first."
"DCG_VO_ogre_corpse_tosser_unique_06"	"Hello friends..."
"DCG_VO_ogre_corpse_tosser_unique_07"	"You betrayed your people!"
"DCG_VO_ogre_corpse_tosser_unique_08"	"The bronze legion is using you!"
"DCG_VO_ogre_corpse_tosser_healed_01"	"Ahhh"
"DCG_VO_ogre_corpse_tosser_healed_02"	"Thanks"
"DCG_VO_ogre_corpse_tosser_healed_03"	"Good."
"DCG_VO_ogre_corpse_tosser_death_01"	"<i>Screams</i>"
"DCG_VO_ogre_corpse_tosser_undead_moan_01"	"<i>moans</i>"
"DCG_VO_ogre_corpse_tosser_undead_anger_01"	"<i>roars</i>"
"DCG_VO_marrowfell_brawler_intro"	"Every year my clan comes to Roseleaf for the thunderhide migration... and while the denizens of Roseleaf were a minor nuisance we never bothered to hunt them... they were too frail to make a worthy trophy. But now things have changed. This 'Rix' has stirred their blood and now they fancy themselves warriors... perhaps it's time to start a new hunt."
"DCG_VO_marrowfell_brawler_summon_01"	"Give me a challenge..."
"DCG_VO_marrowfell_brawler_summon_02"	"I fear nothing..."
"DCG_VO_marrowfell_brawler_summon_03"	"The hunt begins..."
"DCG_VO_marrowfell_brawler_ancient_attack_01"	"Time to kill a god..."
"DCG_VO_marrowfell_brawler_ancient_attack_02"	"Our victory will make a fine story..."
"DCG_VO_marrowfell_brawler_ancient_protect_01"	"I'll show what I can do..."
"DCG_VO_marrowfell_brawler_ancient_protect_02"	"Time to collect another trophy..."
"DCG_VO_marrowfell_brawler_ancient_both_01"	"The possibility of defeat is what makes the hunt exciting..."
"DCG_VO_marrowfell_brawler_ancient_both_02"	"The stakes are high... "
"DCG_VO_marrowfell_brawler_hero_friend_01"	"What should we hunt today?"
"DCG_VO_marrowfell_brawler_hero_friend_02"	"I follow you in the hunt, Warrunner..."
"DCG_VO_marrowfell_brawler_hero_friend_03"	"It's an honor to join your hunting party..."
"DCG_VO_marrowfell_brawler_hero_rival_01"	"Our hunt is a sacred rite, you won't impede us..."
"DCG_VO_marrowfell_brawler_hero_rival_02"	"I'll turn you into a cloak...."
"DCG_VO_marrowfell_brawler_hero_rival_03"	"Your wings will make fine fletching..."
"DCG_VO_marrowfell_brawler_faction_ally_01"	"We hunt as a pack..."
"DCG_VO_marrowfell_brawler_faction_ally_02"	"Let's find some large game..."
"DCG_VO_marrowfell_brawler_faction_ally_03"	"The thrill of the hunt..."
"DCG_VO_marrowfell_brawler_unique_01"	"I'll prove my worth."
"DCG_VO_marrowfell_brawler_unique_02"	"Leave the thunderhide to me..."
"DCG_VO_marrowfell_brawler_unique_03"	"I will claim the Alpha's horn..."
"DCG_VO_marrowfell_brawler_unique_04"	"The horn of the alpha is a trophy worthy of respect..."
"DCG_VO_marrowfell_brawler_unique_05"	"I'll crush this beast with my bare hands!"
"DCG_VO_marrowfell_brawler_unique_06"	"I'm not afraid of Beastmaster's pets..."
"DCG_VO_marrowfell_brawler_unique_07"	"Tonight we feast on wolf..."
"DCG_VO_marrowfell_brawler_unique_08"	"I hunt Thunderhides, you think I'm afraid of a wolf?"
"DCG_VO_marrowfell_brawler_healed_01"	"Ahhh"
"DCG_VO_marrowfell_brawler_healed_02"	"The hunt continues..."
"DCG_VO_marrowfell_brawler_healed_03"	"Now where were we..."
"DCG_VO_mercenary_exiles_intro"	"We were good soldiers that served Galanius and the Bronze Legion for years. The blood we spilt didn't just bring glory to Stonehall, it helped build the whole damn empire. And how were we rewarded? With a fancy piece of red cloth to wear into battle. But You can't build a keep out of honor. You can't feed your family with Pride. You can't repay a debt with Glory. So now we fight for the only thing that matters. Gold."
"DCG_VO_mercenary_exiles_summon_01"	"If you're willing to pay, we're willing to fight."
"DCG_VO_mercenary_exiles_summon_02"	"If the money's good there's no one we won't kill."
"DCG_VO_mercenary_exiles_summon_03"	"We'll fight for you... for a price."
"DCG_VO_mercenary_exiles_ancient_attack_01"	"Leave the ancient to us..."
"DCG_VO_mercenary_exiles_ancient_attack_02"	"Easy money..."
"DCG_VO_mercenary_exiles_ancient_protect_01"	"Looks like you need our help..."
"DCG_VO_mercenary_exiles_ancient_protect_02"	"Who needs the Jasper Circle when you have us?"
"DCG_VO_mercenary_exiles_ancient_both_01"	"How much is this victory worth?"
"DCG_VO_mercenary_exiles_ancient_both_02"	"It’s a good thing you brought in professionals..."
"DCG_VO_mercenary_exiles_use_ability_01"	"Wise investment..."
"DCG_VO_mercenary_exiles_use_ability_02"	"Who do you need us to kill?"
"DCG_VO_mercenary_exiles_use_ability_03"	"Time for us to get to work..."
"DCG_VO_mercenary_exiles_hero_friend_01"	"Remember Tresdin... we're fighting with you, but we don’t take orders from you..."
"DCG_VO_mercenary_exiles_hero_friend_02"	"Looks like your rebellion needs a little help..."
"DCG_VO_mercenary_exiles_hero_friend_03"	"The Red Mists money spends as well as anyone's..."
"DCG_VO_mercenary_exiles_hero_rival_01"	"I was willing to take this job for free commander."
"DCG_VO_mercenary_exiles_hero_rival_02"	"Sorry Rix, it's just business."
"DCG_VO_mercenary_exiles_hero_rival_03"	"You barbarians don’t have a chance against trained soldiers..."
"DCG_VO_mercenary_exiles_unique_01"	"I think we're going to get along just fine..."
"DCG_VO_mercenary_exiles_unique_02"	"You keep paying and we'll keep fighting."
"DCG_VO_mercenary_exiles_unique_03"	"Don't be cheap...I know you can afford us."
"DCG_VO_mercenary_exiles_unique_04"	"Desperate times, eh?"
"DCG_VO_mercenary_exiles_unique_05"	"Alright boys, let's give 'em what they paid for."
"DCG_VO_mercenary_exiles_unique_06"	"Stonehall doesn't care about you, you're just a spoke on the wheel."
"DCG_VO_mercenary_exiles_unique_07"	"If you want us to kill Axe you have to pay better..."
"DCG_VO_mercenary_exiles_unique_08"	"Make a choice who you value more... us or your friends from Revtel..."
"DCG_VO_mercenary_exiles_unique_09"	"金をありがとう。"
"DCG_VO_mercenary_exiles_healed_01"	"Ahhh"
"DCG_VO_mercenary_exiles_healed_02"	"Thanks"
"DCG_VO_mercenary_exiles_healed_03"	"Still in the fight"
"DCG_VO_mercenary_exiles_death_01"	"<i>Screams</i>"
"DCG_VO_rampaging_vandal_intro"	"Besiege Stonehall. I've seen Khan's over thrown for even suggesting it. But when Sorla gave the order, not one of us batted an eye. Not because she's the strongest. Not because we fear her cruelty. But because we knew that she would die before she failed her people. And so The Red Mist marches... and may the gods have mercy on whoever stands in our way."
"DCG_VO_rampaging_vandal_summon_01"	"I'll tear it down!"
"DCG_VO_rampaging_vandal_summon_02"	"The Red Mist is here!"
"DCG_VO_rampaging_vandal_summon_03"	"Death to our enemies!"
"DCG_VO_rampaging_vandal_ancient_attack_01"	"It's ours for the taking."
"DCG_VO_rampaging_vandal_ancient_attack_02"	"Our victory is inevitable!"
"DCG_VO_rampaging_vandal_ancient_protect_01"	"I'll take you with me!"
"DCG_VO_rampaging_vandal_ancient_protect_02"	"It's not over yet!"
"DCG_VO_rampaging_vandal_ancient_both_01"	"Fight till the end!"
"DCG_VO_rampaging_vandal_ancient_both_02"	"We won't yield!"
"DCG_VO_rampaging_vandal_hero_friend_01"	"The Red Mist awaits your command."
"DCG_VO_rampaging_vandal_hero_friend_02"	"What do you need my Khan?"
"DCG_VO_rampaging_vandal_hero_friend_03"	"Sorla Khan has forgiven you Axe."
"DCG_VO_rampaging_vandal_hero_rival_01"	"Stonehall will fall!"
"DCG_VO_rampaging_vandal_hero_rival_02"	"You're a traitor Axe!"
"DCG_VO_rampaging_vandal_hero_rival_03"	"You're not strong enough to lead!"
"DCG_VO_rampaging_vandal_faction_ally_01"	"Fear the Red Mist!"
"DCG_VO_rampaging_vandal_faction_ally_02"	"No one can stop the Red Mist!"
"DCG_VO_rampaging_vandal_faction_ally_03"	"For Sorla Khan!"
"DCG_VO_rampaging_vandal_unique_01"	"Siege the tower!"
"DCG_VO_rampaging_vandal_unique_02"	"I never thought I'd fight along side the Bronze Legion."
"DCG_VO_rampaging_vandal_unique_03"	"Watch and learn brother..."
"DCG_VO_rampaging_vandal_unique_04"	"Their tower will fall!"
"DCG_VO_rampaging_vandal_unique_05"	"It's an honor to fight by your side my Khan."
"DCG_VO_rampaging_vandal_unique_06"	"<i>crazed laughter</i>"
"DCG_VO_rampaging_vandal_unique_07"	"Burn it all!"
"DCG_VO_rampaging_vandal_unique_08"	"Leave nothing but rubble!"
"DCG_VO_rampaging_vandal_healed_01"	"Ahhh"
"DCG_VO_rampaging_vandal_healed_02"	"Thanks"
"DCG_VO_rampaging_vandal_healed_03"	"Ready to keep fighting."
"DCG_VO_rampaging_vandal_death_01"	"<i>Screams</i>"
"DCG_VO_revtel_convoy_intro"	"These are strange times in Revtel. Iron Fog is terrorized by Losel. The Veiled Sisters assassinated Kwerthius. And Lord Sunbreeze's own daughter has burned down his estate. But despite the setbacks, the wheel continues to turn and profits continue to roll in. But there is no time to mourn in Revtel... there is business to be done. "
"DCG_VO_revtel_convoy_summon_01"	"Greetings from Revtel..."
"DCG_VO_revtel_convoy_summon_02"	"We travel with precious cargo."
"DCG_VO_revtel_convoy_summon_03"	"Revtel has business to conduct..."
"DCG_VO_revtel_convoy_ancient_attack_01"	"This war needs to end."
"DCG_VO_revtel_convoy_ancient_attack_02"	"This business will be over soon."
"DCG_VO_revtel_convoy_ancient_protect_01"	"Revtel can change the tide..."
"DCG_VO_revtel_convoy_ancient_protect_02"	"Ahhh so you seek the aid of Revtel?"
"DCG_VO_revtel_convoy_ancient_both_01"	"Just remember that it was Revtel who saved you..."
"DCG_VO_revtel_convoy_ancient_both_02"	"You have friends in Revtel..."
"DCG_VO_revtel_convoy_hero_friend_01"	"Have you found her yet?"
"DCG_VO_revtel_convoy_hero_friend_02"	"How goes the hunt Gondar?"
"DCG_VO_revtel_convoy_hero_friend_03"	"It's always a pleasure doing business with you Gondar..."
"DCG_VO_revtel_convoy_hero_rival_01"	"You'll pay for what you did in Revtel..."
"DCG_VO_revtel_convoy_hero_rival_02"	"Revtel does not forget..."
"DCG_VO_revtel_convoy_hero_rival_03"	"We paid you Gondar, how dare you betray us!"
"DCG_VO_revtel_convoy_unique_01"	"We're not looking to fight, we just want safe passage."
"DCG_VO_revtel_convoy_unique_02"	"You will let us pass or you will die."
"DCG_VO_revtel_convoy_unique_03"	"The Brass Herald provides..."
"DCG_VO_revtel_convoy_unique_04"	"What would Revtel be without Iron Fog."
"DCG_VO_revtel_convoy_unique_05"	"Thanks to Iron Fog our coffers are always full.."
"DCG_VO_revtel_convoy_unique_06"	"Mireska will be taken home safely..."
"DCG_VO_revtel_convoy_unique_07"	"The sisterhood has much to answer for."
"DCG_VO_revtel_convoy_unique_08"	"In time the sisterhood will get what they deserve..."
"DCG_VO_revtel_convoy_healed_01"	"Ahhh"
"DCG_VO_revtel_convoy_healed_02"	"I was worried we wouldn't make the journey..."
"DCG_VO_revtel_convoy_healed_03"	"thank you, Lord Sunbreeze would not take too kindly if we failed..."
"DCG_VO_legion_standard_bearer_intro"	"As a boy I dreamed of being a member of the Stonehall Elite... to be trained by Belasanno himself in the ways of war... but the sad truth is that I have no gift for combat.  I am no soldier. But I am a believer. In our emperor. In our country. In our mission. I may not be a swordsman, but I am proud to carry the bullsnake into battle."
"DCG_VO_legion_standard_bearer_summon_01"	"For the glory of Stonehall!"
"DCG_VO_legion_standard_bearer_summon_02"	"I will fight by your side!"
"DCG_VO_legion_standard_bearer_summon_03"	"I raise the bullsnake high!"
"DCG_VO_legion_standard_bearer_ancient_attack_01"	"We will win this!"
"DCG_VO_legion_standard_bearer_ancient_attack_02"	"Victory is assured!"
"DCG_VO_legion_standard_bearer_ancient_protect_01"	"We will not lose!"
"DCG_VO_legion_standard_bearer_ancient_protect_02"	"We must rally!"
"DCG_VO_legion_standard_bearer_ancient_both_01"	"We will not fail Galanius!"
"DCG_VO_legion_standard_bearer_ancient_both_02"	"We will win together, or die together!"
"DCG_VO_legion_standard_bearer_hero_friend_01"	"It's an honor to stand by your side."
"DCG_VO_legion_standard_bearer_hero_friend_02"	"What would you have me do Commander."
"DCG_VO_legion_standard_bearer_hero_friend_03"	"You're back where you belong Rix!"
"DCG_VO_legion_standard_bearer_hero_rival_01"	"How could you betray us Rix?"
"DCG_VO_legion_standard_bearer_hero_rival_02"	"Why would you do this Rix?"
"DCG_VO_legion_standard_bearer_hero_rival_03"	"We won't let you reach Stonehall!"
"DCG_VO_legion_standard_bearer_faction_ally_01"	"Come brothers!"
"DCG_VO_legion_standard_bearer_faction_ally_02"	"The Legion stands united!"
"DCG_VO_legion_standard_bearer_faction_ally_03"	"Form on my standard!"
"DCG_VO_legion_standard_bearer_unique_01"	"I now see Stonehall for what it really is!"
"DCG_VO_legion_standard_bearer_unique_02"	"I'll fight for you, Rix"
"DCG_VO_legion_standard_bearer_unique_03"	"It's a privilege to watch you kill this traitor!"
"DCG_VO_legion_standard_bearer_unique_04"	"We will stand against the Red mist!"
"DCG_VO_legion_standard_bearer_unique_05"	"The Red Mist will never win!"
"DCG_VO_legion_standard_bearer_unique_06"	"We have a common enemy!"
"DCG_VO_legion_standard_bearer_unique_07"	"The enemy isn't the legion Rix, it's the red mist!"
"DCG_VO_legion_standard_bearer_unique_08"	"If we don't stand together, Roseleaf will fall!"
"DCG_VO_legion_standard_bearer_healed_01"	"Ahhh"
"DCG_VO_legion_standard_bearer_healed_02"	"Thank you"
"DCG_VO_legion_standard_bearer_healed_03"	"I'll go on as long as I can..."
"DCG_VO_disciple_of_nevermore_intro"	"ここでは美味しそうな争いが起こっている。争いがあるところには、絶望がある。そして、絶望があるところでは血が流れ、なされるべき施しがある。"
"DCG_VO_disciple_of_nevermore_summon_01"	"I offer a taste of what the Court of Ristul can provide."
"DCG_VO_disciple_of_nevermore_summon_02"	"How can I be of service?"
"DCG_VO_disciple_of_nevermore_summon_03"	"My aid comes with price."
"DCG_VO_disciple_of_nevermore_ancient_attack_01"	"Your enemies will soon be dead."
"DCG_VO_disciple_of_nevermore_ancient_attack_02"	"Victory is imminent."
"DCG_VO_disciple_of_nevermore_ancient_protect_01"	"I will give you the strength to defeat your enemies."
"DCG_VO_disciple_of_nevermore_ancient_protect_02"	"You can still win this battle."
"DCG_VO_disciple_of_nevermore_ancient_both_01"	"We'll end this once and for all."
"DCG_VO_disciple_of_nevermore_ancient_both_02"	"I can feel your desperation."
